textid	target	model	tokenizer	predicted	prob	condition
ex0	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.7836704850196838	lexical_overlap
ex1	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6424664855003357	lexical_overlap
ex2	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.4851769208908081	lexical_overlap
ex3	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7373596429824829	lexical_overlap
ex4	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5478947758674622	lexical_overlap
ex5	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.526968777179718	lexical_overlap
ex6	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5385613441467285	lexical_overlap
ex7	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6992092132568359	lexical_overlap
ex8	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6051313877105713	lexical_overlap
ex9	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.5500810742378235	lexical_overlap
ex10	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.680030345916748	lexical_overlap
ex11	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.4449614286422729	lexical_overlap
ex12	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.538092315196991	lexical_overlap
ex13	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.7813068628311157	lexical_overlap
ex14	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6932939887046814	lexical_overlap
ex15	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.4564795196056366	lexical_overlap
ex16	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.4655779004096985	lexical_overlap
ex17	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.9348278045654296	lexical_overlap
ex18	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_2	0.3865196108818054	lexical_overlap
ex19	non-entailment	mnli_models/mnli_model1	mnli_models/mnli_model1	LABEL_0	0.6797968149185181	lexical_overlap
